ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	short3_cov	short3_Ocov	short4_cov	short4_Ocov	long_nb	short1_nb	short2_nb	short3_nb	short4_nb
232	68	1	1	0.000000	2.735294	2.735294	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
233	49	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
234	83	0	0	0.000000	1.445783	1.445783	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
235	89	0	0	0.000000	1.932584	1.932584	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
236	123	2	0	0.000000	1.650407	1.650407	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
237	74	0	0	0.000000	1.891892	1.891892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
238	138	0	0	0.000000	3.391304	3.391304	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
239	102	0	0	0.000000	1.558824	1.558824	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
240	99	1	0	0.000000	2.434343	2.434343	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
241	3	2	2	0.000000	6.000000	6.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
242	46	0	1	0.000000	2.739130	2.739130	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
243	191	0	1	0.000000	4.392670	4.392670	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
244	30	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
245	101	2	0	0.000000	1.801980	1.801980	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
246	90	0	0	0.000000	3.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
247	51	0	0	0.000000	1.313725	1.313725	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
248	47	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
249	39	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
250	90	0	0	0.000000	2.633333	2.633333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
251	86	0	0	0.000000	2.767442	2.767442	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
252	105	0	0	0.000000	2.742857	2.742857	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
253	73	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
254	16	1	2	0.000000	3.937500	3.937500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
255	1	2	2	0.000000	6.000000	6.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
256	25	1	1	0.000000	3.320000	2.760000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
257	108	0	0	0.000000	2.990741	2.990741	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
258	89	0	0	0.000000	1.932584	1.932584	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
259	1	2	2	0.000000	5.000000	5.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
260	15	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
261	39	0	0	0.000000	1.846154	1.846154	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
262	49	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
263	86	0	0	0.000000	1.860465	1.860465	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
264	87	0	0	0.000000	3.505747	3.505747	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
265	86	0	0	0.000000	1.023256	1.023256	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
266	89	0	0	0.000000	1.943820	1.943820	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
267	75	0	0	0.000000	1.986667	1.986667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
268	43	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
269	86	0	0	0.000000	1.965116	1.965116	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
